name,datetime,temp,precip,visibility,uvindex,severerisk
Gates Of The Arctic National Park & Preserve,2010-01-01,-8.7,0,7,0,
Gates Of The Arctic National Park & Preserve,2010-01-02,-0.1,0,6,0,
Gates Of The Arctic National Park & Preserve,2010-01-03,-12.9,0,9.8,0,
Gates Of The Arctic National Park & Preserve,2010-01-04,-14,0,9.7,0,
Gates Of The Arctic National Park & Preserve,2010-01-05,-0.1,0,4.8,0,
Gates Of The Arctic National Park & Preserve,2010-01-06,-9.8,0,8.1,0,
Gates Of The Arctic National Park & Preserve,2010-01-07,-8.6,0,5.8,0,
Gates Of The Arctic National Park & Preserve,2010-01-08,-23,0,5.7,0,
Gates Of The Arctic National Park & Preserve,2010-01-09,-29.5,0,4.9,0,
Gates Of The Arctic National Park & Preserve,2010-01-10,-31.1,4.989,7.7,0,
Gates Of The Arctic National Park & Preserve,2010-01-11,-26,0,9.6,0,
Gates Of The Arctic National Park & Preserve,2010-01-12,-18.3,0,9.6,0,
Gates Of The Arctic National Park & Preserve,2010-01-13,-13.9,0,8.9,0,
Gates Of The Arctic National Park & Preserve,2010-01-14,-28.1,0,6.5,0,
Gates Of The Arctic National Park & Preserve,2010-01-15,-29,0,8.3,0,
Gates Of The Arctic National Park & Preserve,2010-01-16,-24.5,0,7.9,0,
Gates Of The Arctic National Park & Preserve,2010-01-17,-30.6,0,6,0,
Gates Of The Arctic National Park & Preserve,2010-01-18,-32.7,0,9.3,0,
Gates Of The Arctic National Park & Preserve,2010-01-19,-31.2,0,9.4,0,
Gates Of The Arctic National Park & Preserve,2010-01-20,-21,0,9.5,0,
Gates Of The Arctic National Park & Preserve,2010-01-21,-10.1,0,5.9,0,
Gates Of The Arctic National Park & Preserve,2010-01-22,-13.8,0,8.1,0,
Gates Of The Arctic National Park & Preserve,2010-01-23,0.1,0,9.9,0,
Gates Of The Arctic National Park & Preserve,2010-01-24,0.3,0,9.9,0,
Gates Of The Arctic National Park & Preserve,2010-01-25,12.6,0,8.9,0,
Gates Of The Arctic National Park & Preserve,2010-01-26,6.2,0,7.5,0,
Gates Of The Arctic National Park & Preserve,2010-01-27,-8.7,0,2.6,0,
Gates Of The Arctic National Park & Preserve,2010-01-28,-22.5,0,6,0,
Gates Of The Arctic National Park & Preserve,2010-01-29,-2.3,0,9.7,0,
Gates Of The Arctic National Park & Preserve,2010-01-30,10.8,0,8.6,0,
Gates Of The Arctic National Park & Preserve,2010-01-31,8.2,0,7.3,0,
Gates Of The Arctic National Park & Preserve,2010-02-01,-10.3,0,4.2,1,
Gates Of The Arctic National Park & Preserve,2010-02-02,-13.1,0,7.9,1,
Gates Of The Arctic National Park & Preserve,2010-02-03,-7.4,0,1.8,1,
Gates Of The Arctic National Park & Preserve,2010-02-04,-18.7,0,6.2,1,
Gates Of The Arctic National Park & Preserve,2010-02-05,-23.4,0,9.9,1,
Gates Of The Arctic National Park & Preserve,2010-02-06,-15.8,0,7,0,
Gates Of The Arctic National Park & Preserve,2010-02-07,-6.7,0,5.7,1,
Gates Of The Arctic National Park & Preserve,2010-02-08,-6.8,0,7.2,1,
Gates Of The Arctic National Park & Preserve,2010-02-09,-14,0,7.4,1,
Gates Of The Arctic National Park & Preserve,2010-02-10,2.1,0,9.7,1,
Gates Of The Arctic National Park & Preserve,2010-02-11,-3.4,0,9.8,1,
Gates Of The Arctic National Park & Preserve,2010-02-12,-6.9,0,8.4,1,
Gates Of The Arctic National Park & Preserve,2010-02-13,3.6,0,9.2,1,
Gates Of The Arctic National Park & Preserve,2010-02-14,-13.7,0,7.2,1,
