"Operation of the National Park System Organizations","FY 2022
Park Base
FTE","FY 2022
Total FTE","FY 2022
Actual","FY 2023
Enacted","FY 2024
Fixed Costs
& Internal
Transfers","FY 2024
Program
Changes","FY 2024
Request"
"Craters of the Moon NM&Pres","15","26","1747","1843","74","120","2037"
"Cumberland Gap NHP","23","31","3782","3949","170","79","4198"
"Cumberland Island NS","24","28","3120","3263","155","76","3494"
"Curecanti NRA","39","45","4746","4958","245","265","5468"
"Cuyahoga Valley NP","92","114","11889","12299","637","139","13075"
"Dayton Aviation NHP","19","19","2175","2289","110","25","2424"
"De Soto NMem","7","7","785","857","41","25","923"
"Death Valley NP","67","97","9735","10559","452","317","11328"
"Delaware Water Gap NRA","77","98","10761","11367","567","113","12047"
"Denali NP&Pres","106","154","15924","16603","797","1070","18470"
"Devils Postpile NM","4","5","674","735","32","76","843"
"Devils Tower NM","10","17","1510","1600","68","76","1744"
"Dinosaur NM","32","45","4113","4310","203","132","4645"
"Dry Tortugas NP","13","20","2274","2386","113","76","2575"
"Ebey’s Landing NHR","0","2","363","414","10","25","449"
"Edgar Allan Poe NHS","0","0","446","446","28","25","499"
"Effigy Mounds NM","13","13","1322","1415","71","88","1574"
"Eisenhower NHS","7","7","1223","1314","61","25","1400"
"El Malpais NM","18","22","2088","2195","112","91","2398"
"El Morro NM","7","8","1006","1084","53","25","1162"
"Eleanor Roosevelt NHS","5","5","957","1040","60","25","1125"
"Eugene O’Neill NHS","3","4","703","774","34","76","884"
"Everglades NP","131","219","18378","19211","928","453","20592"
"Fire Island NS","43","50","5510","5764","312","134","6210"
"First Ladies NHS","7","7","1031","1099","37","25","1161"
"First State NHP","7","7","1030","1104","58","25","1187"
"Flagstaff Area Parks - Sunset Crater Volcano NM, Walnut Canyon NM, Wupatki
NM","28","47","4100","4302","191","83","4576"
"Flight 93 NMem","13","14","1731","1832","84","25","1941"
"Florissant Fossil Beds NM","9","11","1092","1176","60","76","1312"
"Fort Caroline NMem & Timucuan Ecological & Historic Preserve","24","24","2981","3114","147","90","3351"
"Fort Davis NHS","11","14","1465","1560","68","25","1653"
"Fort Donelson NB","13","14","1642","1736","80","25","1841"
"Fort Frederica NM","6","6","953","1030","49","25","1104"
"Fort Laramie NHS","15","16","1822","1921","89","25","2035"
"Fort Larned NHS","11","12","1188","1274","68","25","1367"
"Fort McHenry NM & Historic Shrine","23","26","2783","2919","133","25","3077"
"Fort Monroe NM","4","4","1296","1360","27","25","1412"
"Fort Necessity NB","15","16","1771","1873","88","76","2037"
"Fort Point NHS","1","1","561","620","18","25","663"
"Fort Pulaski NM","9","23","1499","1587","64","76","1727"
"Fort Scott NHS","12","14","1492","1586","73","25","1684"
"Fort Smith NHS","11","12","1183","1326","62","525","1913"
"Fort Stanwix NM","14","14","1727","1828","89","25","1942"
"Fort Sumter and Fort Moultrie NHP","21","22","2264","2368","112","25","2505"
"Fort Union NM","12","14","1341","1426","66","25","1517"
"Fort Union Trading Post NHS","9","9","926","1004","54","25","1083"
"Fort Vancouver NHS","19","23","2165","2281","111","25","2417"
"Fossil Butte NM","7","9","818","881","37","76","994"
"Frederick Law Olmsted NHS","27","28","1959","2138","98","91","2327"
"Fredericksburg & Spotsylvania NMP","39","41","4989","5245","280","336","5861"
"Freedom Riders NM","1","1","498","553","13","25","591"
"Friendship Hill NHS","6","8","619","684","33","25","742"
"Gates of the Arctic NP&Pres","34","46","3411","3622","160","331","4113"
"Gateway NRA","208","239","27577","28813","1331","189","30333"
"Gateway Arch NP","86","134","10998","11374","569","25","11968"
"Gauley River NRA","2","2","919","996","52","25","1073"
"George Rogers Clark NHP","9","9","1007","1088","54","25","1167"
"George Washington Birthplace NM","16","16","1859","1953","84","25","2062"
"George Washington Carver NM","13","13","1600","1696","76","25","1797"
"George Washington Memorial Parkway","84","94","14576","15162","641","348","16151"
"Gettysburg NMP","53","60","7586","7927","392","76","8395"
"Gila Cliff Dwellings NM","4","5","415","779","20","25","824"
"Glacier Bay NP&Pres","32","73","5544","5954","287","112","6353"
"Glacier NP","125","271","15502","16226","836","628","17690"
"Glen Canyon NRA","98","141","13149","13706","669","453","14828"
"Golden Gate NRA","168","266","26159","27417","1464","313","29194"
"Golden Spike NHP","11","12","1196","1511","58","25","1594"
"Governor’s Island NM","2","2","1591","1642","56","25","1723"
"Grand Canyon NP","151","390","23523","24753","1183","144","26080"
"Grand Canyon Parashant NM","12","12","1726","1826","86","83","1995"
"Grand Portage NM","9","9","1458","1614","58","76","1748"
"Grand Teton NP","94","218","13741","14396","687","266","15349"
"Grant-Kohrs Ranch NHS","16","17","1647","1753","89","110","1952"
"Great Basin NP","22","37","2957","3099","154","121","3374"
"Great Egg Harbor Scenic & Recreational River","0","0","302","302","6","25","333"
"Great Sand Dunes NP&Pres","18","26","2819","2946","137","109","3192"
"Great Smoky Mountains NP","159","265","21164","22124","1090","628","23842"
"Guadalupe Mountains NP","23","24","3205","3347","143","79","3569"
"Guilford Courthouse NMP","8","8","1240","1316","51","25","1392"
"Gulf Islands NS","49","75","7806","8127","354","325","8806"
"Hagerman Fossil Beds NM","4","5","1004","1074","39","25","1138"
"Haleakala NP","39","87","6044","6388","289","282","6959"
"Hampton NHS","7","7","1328","1413","67","25","1505"
"Harpers Ferry NHP","47","50","7286","7523","357","76","7956"
"Harriet Tubman NHP","2","2","636","685","24","25","734"
"Harriet Tubman Underground Railroad NHP","2","2","623","703","54","25","782"
"Harry S Truman NHS","13","14","1398","1553","81","25","1659"
"Hawaii Volcanoes NP","61","119","8639","9028","435","313","9776"
"Herbert Hoover NHS","11","13","1513","1608","73","76","1757"
"Home of Franklin D Roosevelt NHS","27","30","4052","4232","224","104","4560"
"Homestead NM of America","14","14","1389","1481","77","76","1634"
"Honouliuli NHS","1","1","357","409","13","25","447"
"Hopewell Culture NHP","14","15","1464","1684","77","76","1837"
"Hopewell Furnace NHS","11","11","1569","1660","74","25","1759"
"Horseshoe Bend NMP","8","9","889","1154","50","25","1229"
"Hot Springs NP","40","44","4954","6001","254","76","6331"
"Hovenweep NM","3","8","607","670","32","25","727"
"Independence NHP","175","180","26164","27260","1133","25","28418"
"Indiana Dunes NP","75","115","10031","10392","525","574","11491"
"Isle Royale NP","34","46","4795","5021","247","93","5361"
"James A Garfield NHS","8","9","841","917","48","25","990"
"Jean Lafitte NHP & Pres","42","43","6010","6238","270","142","6650"
"Jewel Cave NM","11","17","1317","1410","77","110","1597"
"Jimmy Carter NHS","17","18","2286","2388","95","76","2559"
"John D Rockefeller Jr Memorial Parkway","0","0","602","602","41","25","668"
"John Day Fossil Beds NM","13","14","1779","1877","84","76","2037"
"John F Kennedy NHS","0","0","572","570","24","25","619"
"John Muir NHS","14","15","1115","1202","65","25","1292"
"Johnstown Flood NMem","9","9","870","937","41","25","1003"
"Joshua Tree NP","43","111","6878","7161","333","440","7934"
"Kalaupapa NHP","33","40","5084","5268","236","182","5686"
"Kaloko-Honokohau NHP","16","23","2116","2324","86","135","2545"
"Katahdin Woods and Waters NM","7","8","1182","1250","56","76","1382"
"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR","25","40","4806","5149","215","215","5579"
"Kenai Fjords NP","30","36","4409","4606","233","443","5282"
"Kennesaw Mountain NBP","15","19","2030","2141","97","25","2263"
"Keweenaw NHP","13","15","1879","1980","84","256","2320"
"Kings Mountain NMP","11","12","1197","1274","59","76","1409"
"Klondike Gold Rush NHP","26","40","3473","3627","171","76","3874"
"Klondike Gold Rush - Seattle Unit NHP","6","6","811","1083","41","25","1149"
"Knife River Indian Village NHS","9","9","978","1579","49","76","1704"
"Lake Clark NP&Pres","22","27","3800","3959","183","107","4249"
"Lake Mead NRA","101","186","20042","20858","824","521","22203"
"Lake Meredith NRA & Alibates Flint Quarry NM","26","34","3484","3640","178","76","3894"
"Lake Roosevelt NRA","40","52","6526","6817","286","151","7254"
"Lassen Volcanic NP","35","59","5551","5777","233","218","6228"
"Lava Beds NM & Tule Lake NM","18","32","2532","2888","137","140","3165"
"Lewis & Clark NHP","15","20","1838","1940","87","97","2124"
"Lincoln Boyhood NMem","9","9","1168","1283","64","25","1372"
"Lincoln Home NHS","27","29","3102","3230","157","25","3412"
"Little Bighorn Battlefield NM","10","13","1380","1467","61","76","1604"
"Little River Canyon NPres","14","16","1503","1598","81","76","1755"
"Little Rock Central High School NHS","9","9","1070","1645","51","25","1721"
"Longfellow House - Washington’s Headquarters NHS","0","0","1346","1338","71","25","1434"
"Lowell NHP","60","63","9044","9437","423","303","10163"
"Lyndon B Johnson NHP","26","27","4215","4379","156","76","4611"
"Maggie L Walker NHS","5","6","698","1042","42","25","1109"
"Mammoth Cave NP","52","107","7185","7523","358","226","8107"
"Manassas NBP","26","29","3530","3780","193","206","4179"
"Manhattan Project NHP","4","7","1049","1264","43","25","1332"
"Manhattan Sites","20","20","4836","5083","101","25","5209"
"Manzanar NHS","11","13","1443","1538","67","25","1630"
"Marsh-Billings-Rockefeller NHP","14","15","2252","2365","122","76","2563"
"Martin Luther King, Jr NHP","25","25","4652","5584","165","25","5774"
"Martin Van Buren NHS","11","11","1398","1488","65","25","1578"
"Medgar & Myrlie Evers Home NM","1","1","182","1126","10","240","1376"
"Mesa Verde NP","50","94","6975","7308","345","139","7792"
"Mill Springs Battlefield NM","6","6","874","932","31","25","988"
"Minidoka NHS","3","4","497","774","28","25","827"
"Minute Man NHP","25","29","3364","3508","182","143","3833"
"Minuteman Missile NHS","8","8","769","876","40","25","941"
"Mississippi NRRA","19","22","2177","2697","119","191","3007"
"Missouri NRR","9","11","1269","1342","63","83","1488"
"Mojave NPres & Castle Mountains NM","34","42","6023","6253","280","163","6696"
"Monocacy NB","10","12","1729","1870","75","276","2221"
"Montezuma Castle NM & Tuzigoot NM","10","22","1756","1852","66","76","1994"
"Moores Creek NB","5","6","733","803","34","25","862"
"Morristown NHP","24","24","2924","3067","161","76","3304"
"Mount Rainier NP","84","178","13055","13624","674","407","14705"
"Mount Rushmore NMem","34","49","4510","4709","230","76","5015"
"Muir Woods NM","6","10","531","599","47","25","671"
"Natchez NHP","14","14","2702","2806","90","25","2921"
"Natchez Trace NST","0","0","84","205","0","25","230"
"Natchez Trace Parkway, Brices Cross Roads NBS, Tupelo NB","94","103","12590","13122","579","109","13810"
"National Capital Parks-East","98","99","17991","19046","663","139","19848"
"National Mall & Memorial Parks","216","224","38510","40126","1529","266","41921"
"National Park of American Samoa","12","16","1480","1562","63","201","1826"
"National Park Service Liaison to the White House","60","67","10254","10663","455","190","11308"
"National Parks of New York Harbor (Hqtrs)","6","6","926","1009","56","25","1090"
"Natural Bridges NM","5","9","579","643","29","25","697"
"New Bedford Whaling NHP","8","9","1037","1115","60","25","1200"
"New Orleans Jazz NHP","5","5","1426","1511","51","25","1587"
"New Philadelphia NHS","0","0","0","0","0","295","295"
"New River Gorge NP&Pres","72","85","8216","8600","421","156","9177"
"Nez Perce NHP","19","20","2693","3111","122","94","3327"
"Nicodemus NHS","3","3","810","872","23","25","920"
"Ninety Six NHS","6","6","518","578","29","25","632"
"Niobrara NSR","5","5","1102","1176","35","76","1287"
"North Cascades NP, Lake Chelan NRA, Ross Lake NRA","46","104","7484","7783","350","530","8663"
"Obed WSR","11","11","1174","1261","75","84","1420"
"Ocmulgee Mounds NHP","11","13","1450","2052","77","76","2205"
"Olympic NP","98","197","13572","14265","741","350","15356"
"Oregon Caves NM & Pres","14","16","1882","1983","91","83","2157"
"Organ Pipe Cactus NM","33","37","4877","5073","232","171","5476"
"Ozark NSR","59","75","7245","7597","384","173","8154"
"Padre Island NS","48","63","6309","6562","301","453","7316"
"Palo Alto Battlefield NHS","13","13","1175","1254","69","76","1399"
"Paterson Great Falls NHP","7","7","1121","1198","53","25","1276"
"Pea Ridge NMP","10","11","1366","1517","73","376","1966"
"Pearl Harbor NMem","32","35","4896","5078","205","25","5308"
"Pecos NHP","19","21","2533","2661","135","76","2872"
"Perry’s Victory & International Peace Memorial","10","14","1240","1323","59","25","1407"
"Petersburg NB","26","26","4002","4179","179","76","4434"
"Petrified Forest NP","36","55","4071","4267","218","121","4606"
"Petroglyph NM","13","16","1889","2001","90","25","2116"
"Pictured Rocks NL","19","34","2856","2980","132","107","3219"
"Pinnacles NP","22","35","3923","4079","171","165","4415"
"Pipe Spring NM","11","12","1398","1490","67","76","1633"
"Pipestone NM","11","12","1210","1415","59","76","1550"
"Point Reyes NS","47","80","8343","8726","429","484","9639"
"Port Chicago Naval Magazine NMem","1","1","326","386","21","201","608"
"Potomac Heritage NST","0","0","472","499","4","25","528"
"Prince William Forest Park","27","31","3819","3995","201","76","4272"
"Pullman NHP","7","7","1120","1525","46","25","1596"
"Pu’uhonua O Honaunau NHP","11","22","2087","2199","104","135","2438"
"Puukohola Heiau NHS","10","14","1313","1397","66","25","1488"
"Rainbow Bridge NM","0","0","160","160","9","25","194"
"Reconstruction Era NHP","9","9","678","1479","30","25","1534"
"Redwood NP","75","103","9601","10271","500","453","11224"
"Richmond NBP","28","28","3463","3638","188","80","3906"
"Rio Grande WSR","0","0","225","225","15","25","265"
"River Raisin NBP","7","7","883","956","44","25","1025"
"Rock Creek Park","48","48","9804","10172","384","150","10706"
"Rocky Mountain NP","91","237","14159","14809","723","497","16029"
"Roger Williams NMem","5","5","749","815","35","25","875"
"Ronald Reagan Boyhood Home NHS","0","0","373","373","0","25","398"
"Rosie the Riveter WWII Home Front NHP","10","10","1399","1494","76","25","1595"
"Russell Cave NM","4","4","430","492","26","25","543"
"Sagamore Hill NHS","14","14","1711","1806","82","76","1964"
"Saguaro NP","31","74","4093","4579","227","238","5044"
"Saint Croix Island IHS","2","2","262","315","14","25","354"
"Saint Croix NSR & Lower Saint Croix NSR","34","37","4207","4406","236","146","4788"
"Saint-Gaudens NHP","10","10","1403","1485","42","250","1777"
"Salem Maritime NHS","19","20","2799","2928","117","139","3184"
"Salinas Pueblo Missions NM","12","14","1533","1627","70","25","1722"
"San Antonio Missions NHP","32","36","4254","4966","207","25","5198"
"San Francisco Maritime NHP","55","61","8109","8513","457","25","8995"
"San Juan Island NHP","7","13","1110","1191","56","76","1323"
"San Juan NHS","27","88","3755","3929","186","25","4140"
"Sand Creek Massacre NHS","5","5","918","1128","30","25","1183"
"Santa Monica Mountains NRA","53","71","8970","9294","404","328","10026"
"Saratoga NHP","18","21","2745","2870","137","78","3085"
"Saugus Iron Works NHS","5","5","982","1057","58","76","1191"
"Scotts Bluff NM","13","13","1066","1145","60","25","1230"
"Sequoia NP & Kings Canyon NP","134","266","17876","18670","846","453","19969"
"Shenandoah NP","84","186","13379","13976","621","414","15011"
"Shiloh NMP","26","30","3054","3194","164","76","3434"
"Sitka NHP","16","19","2356","2468","108","25","2601"
"Sleeping Bear Dunes NL","38","93","4661","4895","272","150","5317"
"Southeast Arizona Group","23","23","3881","4034","159","127","4320"
"Southern Arizona Group (Hqtrs)","13","15","1875","1979","123","81","2183"
"Southern Four Corners Group","34","39","4315","4474","183","76","4733"
"Springfield Armory NHS","12","13","1602","1701","82","25","1808"
"Statue of Liberty NM & Ellis Island","93","94","24833","25466","686","25","26177"
"Ste. Genevieve NHP","7","8","1245","1512","41","25","1578"
"Steamtown NHS","44","44","6137","6412","284","25","6721"
"Stones River NB","13","13","1403","1493","76","76","1645"
"Stonewall NM","2","2","229","280","12","25","317"
"Tallgrass Prairie NPres","9","11","1152","1299","54","76","1429"
"Thaddeus Kosciuszko NMem","0","0","188","188","12","25","225"
"Theodore Roosevelt Inaugural NHS","0","0","316","316","0","25","341"
"Theodore Roosevelt NP & International Peace Garden","28","41","3293","3491","171","142","3804"
"Thomas Edison NHP","20","21","3180","3328","162","25","3515"
"Thomas Stone NHS","2","2","693","760","39","25","824"
"Timpanogos Cave NM","13","22","1225","1311","68","114","1493"
"Tonto NM","7","9","958","1038","33","25","1096"
"Tule Springs Fossil Beds NM","4","4","776","840","37","25","902"
"Tumacacori NHP","11","15","1433","1522","74","76","1672"
"Tuskegee Airmen NHS","6","6","1024","1274","30","25","1329"
"Tuskegee Institute NHS","8","8","1100","1361","36","25","1422"
"Ulysses S Grant NHS","12","12","1368","1458","64","25","1547"
"Upper Delaware Scenic & Recreational River & Middle Delaware NSR","24","25","3693","3844","177","116","4137"
"Valles Caldera NPres","28","34","5101","5257","193","269","5719"
"Valley Forge NHP","51","52","6983","7278","346","95","7719"
"Vanderbilt Mansion NHS","17","18","1179","1266","63","25","1354"
"Vicksburg NMP","26","27","3720","3870","168","76","4114"
"Virgin Islands Coral Reef NM","0","0","510","510","30","25","565"
"Virgin Islands NP","33","37","5421","5615","223","354","6192"
"Voyageurs NP","36","52","4533","4734","245","209","5188"
"Waco Mammoth NM","2","2","403","458","14","76","548"
"War in the Pacific NHP","12","14","1720","1808","62","76","1946"
"Washita Battlefield NHS","7","7","838","909","42","76","1027"
"Weir Farm NHS","8","9","1436","1520","68","25","1613"
"West. Arctic Parklands - Noatak NPres, Cape Krusenstern NM, Kobuk Valley NP","21","22","2780","2956","185","90","3231"
"Whiskeytown NRA","31","65","4594","4789","229","101","5119"
"White Sands NP","15","27","1942","2046","99","76","2221"
"Whitman Mission NHS","6","6","889","966","50","25","1041"
"William Howard Taft NHS","9","9","899","969","45","25","1039"
"William Jefferson Clinton Birthplace Home NHS","5","5","774","878","31","25","934"
"Wilson’s Creek NB","24","26","3526","3674","157","237","4068"
"Wind Cave NP","24","56","2837","3149","157","183","3489"
"Wolf Trap NP","40","40","4592","4890","224","225","5339"
"Women’s Rights NHP","14","14","1707","1797","70","25","1892"
"Wrangell-Saint Elias NP&Pres","38","50","6505","6779","318","113","7210"
"Yellowstone NP","286","519","38349","39884","2038","453","42375"
"Yosemite NP","208","562","31352","32680","1489","453","34622"
"Yucca House NM","0","0","120","120","8","25","153"
"Yukon-Charley Rivers NPres","0","0","1975","1975","92","25","2092"
"Zion NP","68","164","8692","9115","426","560","10101"
"Subtotal, Park Units","9820","14416","1429259","1511154","68675","45086","1624915"
"National Trails System","","","","","","",""
"[Appalachian NST]","","","","","","",""
"[Natchez Trace NST]","","","","","","",""
"[Potomac Heritage NST]","","","","","","",""
"Ala Kahakai NHT","4","9","621","661","34","275","970"
"Butterfield Overland NHT","0","0","0","205","0","25","230"
"California NHT","0","0","417","440","7","25","472"
"Captain John Smith Chesapeake NHT","4","4","879","921","35","25","981"
"Chilkoot NHT","0","0","0","205","0","25","230"
"El Camino Real de los Tejas NHT","0","0","264","287","10","25","322"
"El Camino Real de Tierra Adentro NHT","0","0","355","378","12","25","415"
"Ice Age NST","4","5","989","1036","40","25","1101"
"Juan Bautista de Anza NHT","3","3","623","663","30","25","718"
"Lewis & Clark NHT","16","16","2390","2488","115","25","2628"
"Mormon Pioneer NHT","0","0","308","331","14","25","370"
"New England NST","0","0","278","301","0","25","326"
"North Country NST","5","5","1355","1404","42","25","1471"
"Old Spanish NHT","0","0","308","331","3","25","359"
"Oregon NHT","0","0","529","552","26","25","603"
"Overmountain Victory NHT","0","0","393","416","14","25","455"
"Pony Express NHT","0","0","316","339","7","25","371"
"Santa Fe NHT","17","17","803","915","31","25","971"
"Selma to Montgomery NHT","10","10","2243","2637","84","25","2746"
"Star Spangled Banner NHT","0","0","219","242","11","25","278"
"Trail of Tears NHT","0","0","573","596","27","25","648"
"Washington Rochambeau Revolutionary Route NHT","1","1","341","371","9","25","405"
"National Trail System Program","0","2","408","413","6","0","419"
"Subtotal, National Trail System","64","71","14612","16132","557","800","17489"
"[Subtotal, National Trail System with Park Units]","","","","","","",""
"Partnership Wild & Scenic Rivers","","","","","","",""
"[Great Egg Harbor Scenic & Recreational River]","","","","","","",""
"Eightmile WSR","0","0","300","300","0","25","325"
"Farmington (West Branch) WSR","0","0","300","300","0","25","325"
"Housatonic River WSR","0","0","0","200","0","25","225"
"Lamprey WSR","0","0","300","300","0","25","325"
"Lower Delaware WSR","0","0","300","300","0","25","325"
"Lower Farmington & Salmon Brook WSR","0","0","300","300","0","25","325"
"Maurice WSR","0","0","300","300","0","25","325"
"Missisquoi and Trout Rivers WSR","0","0","300","300","0","25","325"
"Musconetcong WSR","0","0","300","300","0","25","325"
"Nashua WSR","0","0","300","300","0","25","325"
"Sudbury, Assabet, Concord WSR","0","0","300","300","0","25","325"
"Taunton WSR","0","0","300","300","0","25","325"
"Wekiva WSR","0","0","300","300","0","25","325"
"Westfield WSR","0","0","300","300","0","25","325"
"White Clay Creek WSR","0","0","300","300","0","25","325"
"Wood-Pawcatuck Watershed WSR","0","0","300","300","0","25","325"
"York River WSR","0","0","0","200","0","25","225"
"Wild & Scenic River Program","0","2","100","104","6","0","110"
"Subtotal, Partnership Wild & Scenic Rivers","0","2","4600","5004","6","425","5435"
"[Subtotal, Partnership Wild & Scenic Rivers with Park Units]","","","","","","",""
"Affiliated Areas","","","","","","",""
"American Memorial Park","10","11","1680","1727","89","0","1816"
"Gloria Dei (Old Swedes’) Church NHS","0","0","36","36","2","0","38"
"Ice Age National Scientific Reserve","0","0","739","739","0","0","739"
"Lower Eastside Tenement Museum","0","0","249","249","0","0","249"
"Oklahoma City NMem","7","7","855","886","53","0","939"
"Pinelands NR","0","0","301","301","0","0","301"
"Roosevelt Campobello International Park","0","0","1691","1691","0","119","1810"
"Thomas Cole NHS","0","0","158","158","0","0","158"
"Subtotal, Affiliated Areas","18","18","5709","5787","144","119","6050"
"Other Field Offices & Partner Organizations","","","","","","",""
"400 Years of African American History Commission","0","0","3300","3300","0","0","3300"
"Accokeek Foundation","0","0","749","749","0","0","749"
"Alice Ferguson Foundation","0","0","195","195","0","0","195"
"Anchorage Interagency Visitor Center","5","5","739","762","37","0","799"
"Beringia","1","1","674","674","18","0","692"
"Chesapeake Bay Office","2","7","509","524","24","500","1048"
"Erie Canalway NHA Commission","0","0","281","289","4","0","293"
"Fairbanks Interagency Visitor Center","4","4","723","751","47","0","798"
"Johnstown Area Heritage Associate Museum","0","0","44","44","0","0","44"
"Lower Mississippi Delta Technical Assistance","0","0","230","230","0","0","230"
"Maine Acadian Culture Comm Technical Assistance","0","0","99","99","1","0","100"
"Masau Trail","0","0","34","34","2","0","36"
"National Capital Area Performing Arts Program","0","0","2227","2227","0","0","2227"
"National Park Foundation","0","0","5000","10000","0","0","10000"
"Route 66 National Historic Highway","0","0","302","302","5","0","307"
"Subtotal, Other Field Offices","13","18","15106","20180","138","500","20818"
"United States Park Police Operations","","","","","","",""
"United States Park Police Operations","0","429","92249","95012","4954","5365","105331"
"Subtotal, USPP Operations - Washington D.C.","0","429","92249","95012","4954","5365","105331"
"Total, Park Base","9914","14954","1561535","1653269","74474","52295","1780038"
"Central Offices","","","","","","",""
"Washington Office","0","360","83464","94541","874","31470","126885"
"Departmental Unified Regions","0","1221","141513","148436","7297","5525","161258"
"Total, Central Offices","0","1581","224977","242977","8171","36995","288143"
"Program/Support Offices","","","","","","",""
