Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,"OPERATION OF THE NATIONAL PARK SYSTEM
ORGANIZATIONS","FY 2016
Park Base
FTE^{1}","FY 2016
Total FTE^{2}","FY 2016
Final^{6}","FY 2017 CR
Baseline","Fixed Costs
& Internal
Transfers","Program
Changes","FY 2018
Request","Fixed Costs
& Internal
Transfe rs"
Bighorn Canyon NRA,31,40,"3,673","3,666",48,-254,"3,460",,,,,,,,,
Birmingham Civil Rights NM,0,0,0,0,0,180,180,,,,,,,,,
Biscayne NP,34,38,"4,298","4,290",63,-298,"4,055",,,,,,,,,
Black Canyon of the Gunnison NP,16,21,"1,905","1,901",26,-132,"1,795",,,,,,,,,
Blackstone River Valley NHP,2,2,929,927,6,-64,869,,,,,,,,,
Parks,,,,,,,,,,,,,,,,
Blue Ridge Parkway,152,182,16220,16189,243,-1123,15309,,,,,,,,,
Bluestone NSR,0,0,76,76,1,-5,72,,,,,,,,,
Booker T Washington NM,7,7,976,974,13,-68,919,,,,,,,,,
Boston African American NHS,6,6,796,794,11,-55,750,,,,,,,,,
Boston Harbor Islands NRA,14,14,1247,1245,17,-86,1176,,,,,,,,,
Boston NHP,78,86,9377,9359,124,-649,8834,,,,,,,,,
Brown v. Board of Education NHS,17,17,1609,1606,23,-111,1518,,,,,,,,,
Bryce Canyon NP,29,52,3329,3323,46,-231,3138,,,,,,,,,
Buffalo NR,60,81,5908,5897,90,-409,5578,,,,,,,,,
Cabrillo NM,17,23,1698,1695,28,-118,1605,,,,,,,,,
Canaveral NS,31,46,3233,3227,47,-224,3050,,,,,,,,,
Cane River Creole NHP,9,13,1151,1149,14,-80,1083,,,,,,,,,
Canyon de Chelly NM,20,23,2038,2034,28,-141,1921,,,,,,,,,
Canyonlands NP,64,98,6334,6322,89,-439,5972,,,,,,,,,
Cape Cod NS,58,99,7728,7713,110,-535,7288,,,,,,,,,
Brothers NMem,78,133,9816,9797,124,-680,9241,,,,,,,,,
Cape Lookout NS,23,34,2546,2541,36,-176,2401,,,,,,,,,
Capitol Reef NP,23,32,2397,2392,37,-166,2263,,,,,,,,,
Capulin Volcano NM,9,10,752,751,10,-52,709,,,,,,,,,
Carl Sandburg Home NHS,11,11,1259,1257,18,-87,1188,,,,,,,,,
Carlsbad Caverns NP,41,51,5826,5815,62,-403,5474,,,,,,,,,
Casa Grande Ruins NM & Hohokam Pima NM,8,9,849,847,12,-59,800,,,,,,,,,
Castillo de San Marcos NM & Fort Matanzas NM,20,46,2116,2112,34,-147,1999,,,,,,,,,
Castle Mountains NM,0,0,0,0,0,180,180,,,,,,,,,
Catoctin Mountain Park,26,28,3399,3393,46,-235,3204,,,,,,,,,
Cedar Breaks NM,6,12,688,687,9,-48,648,,,,,,,,,
Cedar Creek and Belle Grove NHP,6,6,889,887,11,-62,836,,,,,,,,,
C?sar E. Ch?vez NM,0,0,369,368,3,-26,345,,,,,,,,,
Chaco Culture NHP,21,28,2058,2054,28,-143,1939,,,,,,,,,
Chamizal NMem,25,25,2420,2415,35,-168,2282,,,,,,,,,
Channel Islands NP,60,67,7537,7523,105,-522,7106,,,,,,,,,
Charles Pinckney NHS,4,4,550,549,8,-38,519,,,,,,,,,
Charles Young Buffalo Soldiers NM,2,2,510,509,3,-35,477,,,,,,,,,
Chattahoochee River NRA,27,34,3528,3521,47,-244,3324,,,,,,,,,
Chesapeake & Ohio Canal NHP,67,74,9534,9516,126,-660,8982,,,,,,,,,
Chickamauga & Chattanooga NMP,30,30,3412,3406,49,-236,3219,,,,,,,,,
Chickasaw NRA,39,45,3916,3909,56,-271,3694,,,,,,,,,
Chiricahua NM & Fort Bowie NHS,18,24,1789,1786,24,-124,1686,,,,,,,,,
Ecological Preserve,14,14,2652,2647,26,-184,2489,,,,,,,,,
City of Rocks NRes,0,0,454,453,0,-31,422,,,,,,,,,
Colonial NHP,64,67,6864,6851,89,-475,6465,,,,,,,,,
Colorado NM,20,35,1928,1924,29,-133,1820,,,,,,,,,
Coltsville NHP,0,0,180,180,0,-12,168,,,,,,,,,
Congaree NP,18,18,1898,1894,28,-131,1791,,,,,,,,,
Coronado NMem,14,16,1769,1766,23,-123,1666,,,,,,,,,
Cowpens NB,10,11,877,875,12,-61,826,,,,,,,,,
Crater Lake NP,48,74,5452,5442,77,-378,5141,,,,,,,,,
Craters of the Moon NM&Pres,17,21,1620,1617,24,-112,1529,,,,,,,,,
Cumberland Gap NHP,30,39,3550,3543,48,-246,3345,,,,,,,,,
Cumberland Island NS,23,26,2970,2964,37,-206,2795,,,,,,,,,
Curecanti NRA,39,52,4357,4349,57,-302,4104,,,,,,,,,
Cuyahoga Valley NP,98,121,10857,10836,152,-752,10236,,,,,,,,,
Dayton Aviation NHP,21,22,2008,2004,28,-139,1893,,,,,,,,,
De Soto NMem,8,9,722,721,11,-50,682,,,,,,,,,
Death Valley NP,69,92,8885,8868,113,-615,8366,,,,,,,,,
Delaware Water Gap NRA,83,112,9743,9724,146,-675,9195,,,,,,,,,
Denali NP&Pres,110,181,14631,14603,189,-1013,13779,,,,,,,,,
Devils Postpile NM,5,7,620,619,10,-43,586,,,,,,,,,
Devils Tower NM,14,25,1401,1398,21,-97,1322,,,,,,,,,
Dinosaur NM,36,51,3785,3778,53,-262,3569,,,,,,,,,
"PARK BASE UNITS
Parks",,,,,,,,,,,,,,,,
Dry Tortugas NP,15,18,2099,2095,27,-145,1977,,,,,,,,,
Ebey's Landing NHR,1,3,348,347,3,-24,326,,,,,,,,,
Edgar Allan Poe NHS,0,0,394,393,7,-27,373,,,,,,,,,
Effigy Mounds NM,14,16,1194,1192,17,-83,1126,,,,,,,,,
Eisenhower NHS,9,9,1112,1110,19,-77,1052,,,,,,,,,
El Malpais NM,19,24,1767,1764,25,-122,1667,,,,,,,,,
El Morro NM,12,12,919,917,15,-64,868,,,,,,,,,
Eleanor Roosevelt NHS,6,6,847,845,16,-59,802,,,,,,,,,
Eugene O'Neill NHS,8,8,699,698,12,-48,662,,,,,,,,,
Everglades NP,132,206,16806,16774,239,-1164,15849,,,,,,,,,
Fire Island NS,45,48,5021,5011,75,-348,4738,,,,,,,,,
First Ladies NHS,1,2,1010,1008,2,-70,940,,,,,,,,,
First State NM,3,3,364,363,6,-25,344,,,,,,,,,
"Flagstaff Area Parks - Sunset Crater Volcano NM, Walnut Canyon NM, Wupatki NM",34,53,3763,3756,55,-261,3550,,,,,,,,,
Flight 93 NMem,14,15,1577,1574,26,-109,1491,,,,,,,,,
Florissant Fossil Beds NM,11,13,1003,1001,15,-69,947,,,,,,,,,
Fort Caroline NMem & Timucuan Ecological & Historic Preserve,29,29,2803,2798,42,-194,2646,,,,,,,,,
Fort Davis NHS,13,16,1356,1353,18,-94,1277,,,,,,,,,
Fort Donelson NB,14,15,1493,1490,21,-103,1408,,,,,,,,,
Fort Frederica NM,8,9,876,874,12,-61,825,,,,,,,,,
Fort Laramie NHS,19,22,1695,1692,24,-117,1599,,,,,,,,,
Fort Larned NHS,10,10,1067,1065,15,-74,1006,,,,,,,,,
Fort McHenry NM & Historic Shrine,22,26,2591,2586,31,-179,2438,,,,,,,,,
Fort Monroe NM,2,2,509,508,3,-35,476,,,,,,,,,
Fort Necessity NB,16,17,1601,1598,27,-111,1514,,,,,,,,,
Fort Point NHS,4,4,531,530,4,-37,497,,,,,,,,,
Fort Pulaski NM,10,18,1385,1382,14,-96,1300,,,,,,,,,
Fort Scott NHS,13,16,1343,1340,19,-93,1266,,,,,,,,,
Fort Smith NHS,12,13,1125,1123,18,-78,1063,,,,,,,,,
Fort Stanwix NM,18,19,1608,1605,24,-111,1518,,,,,,,,,
Fort Sumter NM,18,23,2171,2167,26,-150,2043,,,,,,,,,
Fort Union NM,15,19,1257,1255,19,-87,1187,,,,,,,,,
Fort Union Trading Post NHS,8,8,836,834,12,-58,788,,,,,,,,,
Fort Vancouver NHS,19,26,1972,1968,27,-137,1858,,,,,,,,,
Fossil Butte NM,7,7,752,751,10,-52,709,,,,,,,,,
Frederick Law Olmsted NHS,29,29,1801,1798,26,-125,1699,,,,,,,,,
Fredericksburg & Spotsylvania NMP,43,44,4538,4529,73,-314,4288,,,,,,,,,
Freedom Riders NM,0,0,0,0,0,180,180,,,,,,,,,
Friendship Hill NHS,4,4,573,572,6,-40,538,,,,,,,,,
Gates of the Arctic NP&Pres,34,46,3172,3166,39,-220,2985,,,,,,,,,
Gateway NRA,227,288,25346,25298,375,-1755,23918,,,,,,,,,
Gateway NRA - USPP Operations,0,47,8728,8711,117,-604,8224,,,,,,,,,
Gauley River NRA,2,2,815,813,13,-56,770,,,,,,,,,
George Rogers Clark NHP,10,10,920,918,14,-64,868,,,,,,,,,
George Washington Birthplace NM,15,15,1721,1718,16,-119,1615,,,,,,,,,
George Washington Carver NM,13,13,1474,1471,20,-102,1389,,,,,,,,,
George Washington Memorial Parkway,108,113,13199,13174,178,-914,12438,,,,,,,,,
Gettysburg NMP,65,75,6938,6925,110,-480,6555,,,,,,,,,
Gila Cliff Dwellings NM,4,4,378,377,5,-26,356,,,,,,,,,
Glacier Bay NP&Pres,36,78,5073,5063,77,-351,4789,,,,,,,,,
Glacier NP,140,246,13803,13777,208,-956,13029,,,,,,,,,
Glen Canyon NRA,97,147,11802,11780,149,-817,11112,,,,,,,,,
Golden Gate NRA,184,275,26064,26014,378,-1805,24587,,,,,,,,,
Golden Gate NRA - USPP Operations,0,28,4897,4888,70,-339,4619,,,,,,,,,
Golden Spike NHS,11,12,1097,1095,15,-76,1034,,,,,,,,,
Governor's Island NM,10,10,1514,1511,16,-105,1422,,,,,,,,,
Grand Canyon NP,188,394,21587,21546,310,-1495,20361,,,,,,,,,
Grand Portage NM,11,12,1355,1352,16,-94,1274,,,,,,,,,
Grand Teton NP,113,245,12561,12537,182,-870,11849,,,,,,,,,
Grant-Kohrs Ranch NHS,17,19,1510,1507,23,-105,1425,,,,,,,,,
Great Basin NP,25,41,2799,2794,41,-194,2641,,,,,,,,,
Great Egg Harbor Scenic & Recreational River,0,0,172,172,0,-12,160,,,,,,,,,
Great Sand Dunes NP&Pres,21,28,2344,2340,34,-162,2212,,,,,,,,,
Great Smoky Mountains NP,170,263,19414,19377,268,-1344,18301,,,,,,,,,
Guadalupe Mountains NP,26,32,2937,2931,38,-203,2766,,,,,,,,,
Guilford Courthouse NMP,12,13,1136,1134,18,-79,1073,,,,,,,,,
Gulf Islands NS,54,74,7301,7287,89,-506,6870,,,,,,,,,
Hagerman Fossil Beds NM,10,10,943,941,12,-65,888,,,,,,,,,
Haleakala NP,47,75,5596,5585,80,-388,5277,,,,,,,,,
Hampton NHS,7,7,1211,1209,16,-84,1141,,,,,,,,,
Harpers Ferry NHP,62,73,6755,6742,108,-468,6382,,,,,,,,,
"Harriet Tubman Underground Railroad NM, Harriet Tubman NHP",1,2,594,593,2,-41,554,,,,,,,,,
Harry S Truman NHS,11,12,1263,1261,16,-87,1190,,,,,,,,,
Hawaii Volcanoes NP,67,120,7871,7856,119,-545,7430,,,,,,,,,
Herbert Hoover NHS,14,15,1402,1399,20,-97,1322,,,,,,,,,
Home of Franklin D Roosevelt NHS,21,27,3694,3687,57,-256,3488,,,,,,,,,
Homestead NM of America,12,14,1295,1293,20,-90,1223,,,,,,,,,
Honouliuli NM,0,0,209,209,2,-15,196,,,,,,,,,
Hopewell Culture NHP,16,17,1414,1411,22,-98,1335,,,,,,,,,
Hopewell Furnace NHS,11,11,1425,1422,22,-99,1345,,,,,,,,,
Horseshoe Bend NMP,8,8,809,807,11,-56,762,,,,,,,,,
Hot Springs NP,46,53,4648,4639,67,-322,4384,,,,,,,,,
Hovenweep NM,5,8,556,555,9,-39,525,,,,,,,,,
Hubbell Trading Post NHS,11,12,880,878,14,-61,831,,,,,,,,,
Independence NHP,182,187,23710,23665,291,-1642,22314,,,,,,,,,
Indiana Dunes NL,84,122,9384,9366,138,-650,8854,,,,,,,,,
Isle Royale NP,31,45,4623,4614,58,-320,4352,,,,,,,,,
James A Garfield NHS,9,10,763,762,12,-53,721,,,,,,,,,
Jean Lafitte NHP & Pres,56,56,5622,5611,77,-389,5299,,,,,,,,,
Jefferson National Expansion Memorial,95,112,10020,10001,153,-694,9460,,,,,,,,,
Jewel Cave NM,14,20,1194,1192,-83,1128,19,,,,,,,,,
Jimmy Carter NHS,13,13,1663,1660,-115,1561,16,,,,,,,,,
John D Rockefeller Jr Memorial Parkway,0,0,526,525,-36,499,10,,,,,,,,,
John Day Fossil Beds NM,15,16,1639,1636,-114,1545,23,,,,,,,,,
John F Kennedy NHS,0,0,517,516,-36,488,8,,,,,,,,,
John Muir NHS,11,13,1034,1032,-72,977,17,,,,,,,,,
Johnstown Flood NMem,5,6,817,815,-57,765,7,,,,,,,,,
Joshua Tree NP,51,110,6245,6233,-432,5891,90,,,,,,,,,
Kalaupapa NHP,33,41,4520,4511,-313,4256,58,,,,,,,,,
Kaloko-Honokohau NHP,17,23,1956,1952,-135,1841,24,,,,,,,,,
Katahdin Woods and Waters NM,0,0,0,0,180,180,0,,,,,,,,,
"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",29,38,4327,4319,-300,4070,51,,,,,,,,,
Kenai Fjords NP,30,40,4066,4058,-282,3827,51,,,,,,,,,
Kennesaw Mountain NBP,16,16,1710,1707,-118,1615,26,,,,,,,,,
Keweenaw NHP,16,18,1720,1717,-119,1621,23,,,,,,,,,
Kings Mountain NMP,12,14,1167,1165,-81,1099,15,,,,,,,,,
Klondike Gold Rush NHP,29,43,3222,3216,-223,3038,45,,,,,,,,,
Klondike Gold Rush - Seattle Unit NHP,9,9,735,734,-51,696,13,,,,,,,,,
Knife River Indian Village NHS,10,10,913,911,-63,861,13,,,,,,,,,
Lake Clark NP&Pres,24,30,3493,3486,-242,3288,44,,,,,,,,,
Lake Mead NRA,131,216,19622,19585,-1359,18480,254,,,,,,,,,
Grand Canyon Parashant NM,12,13,1653,1650,-114,1557,21,,,,,,,,,
Lake Meredith NRA & Alibates Flint Quarry NM,30,40,3186,3180,-221,3003,44,,,,,,,,,
Lake Roosevelt NRA,45,55,6076,6064,-421,5710,67,,,,,,,,,
Lassen Volcanic NP,52,78,5380,5370,-373,5076,79,,,,,,,,,
Lava Beds NM,23,36,2370,2365,-164,2234,33,,,,,,,,,
Lewis & Clark NHP,17,21,1693,1690,-117,1597,24,,,,,,,,,
Lincoln Boyhood NMem,12,13,1070,1068,-74,1012,18,,,,,,,,,
Lincoln Home NHS,33,39,2847,2842,-197,2690,45,,,,,,,,,
Little Bighorn Battlefield NM,14,20,1250,1248,-87,1180,19,,,,,,,,,
Little River Canyon NPres,16,17,1456,1453,-101,1374,22,,,,,,,,,
Little Rock Central High School NHS,9,9,984,982,-68,926,12,,,,,,,,,
Longfellow House - Washington's Headquarters NHS,0,0,1222,1220,-85,1152,17,,,,,,,,,
Lowell NHP,74,79,8492,8476,-588,8005,117,,,,,,,,,
Lyndon B Johnson NHP,39,40,3926,3919,-272,3697,50,,,,,,,,,
Maggie L Walker NHS,7,7,627,626,-43,593,10,,,,,,,,,
Mammoth Cave NP,62,100,6600,6587,-457,6226,96,,,,,,,,,
Manassas NBP,26,28,3210,3204,-222,3028,46,,,,,,,,,
Manhattan Project NHP,0,0,341,340,-24,318,2,,,,,,,,,
Manhattan Sites (Hqtrs),13,15,1039,1037,-72,984,19,,,,,,,,,
Castle Clinton NM,4,4,622,621,-43,584,6,,,,,,,,,
Federal Hall NMem,5,5,1094,1092,-76,1022,6,,,,,,,,,
General Grant NMem,4,4,912,910,-63,852,5,,,,,,,,,
Hamilton Grange NMem,3,3,180,180,-12,173,5,,,,,,,,,
Saint Paul's Church NHS,1,1,284,283,-20,265,2,,,,,,,,,
Theodore Roosevelt Birthplace NHS,2,2,241,241,-17,227,3,,,,,,,,,
Manzanar NHS,14,15,1329,1326,-92,1255,21,,,,,,,,,
Marsh-Billings-Rockefeller NHP,18,21,2093,2089,-145,1970,26,,,,,,,,,
"Martin Luther King, Jr NHS",28,29,4279,4271,-296,4017,42,,,,,,,,,
Martin Van Buren NHS,13,13,1271,1269,-88,1199,18,,,,,,,,,
Mesa Verde NP,59,108,6519,6507,-451,6153,97,,,,,,,,,
Minidoka NHS,2,3,459,458,-32,433,7,,,,,,,,,
Minute Man NHP,24,25,2861,2856,-198,2698,40,,,,,,,,,
Minuteman Missile NHS,7,7,724,723,-50,682,9,,,,,,,,,
Mississippi NRRA,23,25,1992,1988,-138,1884,34,,,,,,,,,
Missouri NRR,6,6,868,866,-60,817,11,,,,,,,,,
Mojave NPres,37,44,5336,5326,-370,5024,68,,,,,,,,,
Monocacy NB,12,14,1579,1576,-109,1487,20,,,,,,,,,
Montezuma Castle NM & Tuzigoot NM,15,34,1680,1677,-116,1586,25,,,,,,,,,
Moores Creek NB,6,6,691,690,-48,650,8,,,,,,,,,
Morristown NHP,25,25,2663,2658,-184,2516,42,,,,,,,,,
Mount Rainier NP,107,191,12725,12701,-881,12003,183,,,,,,,,,
Mount Rushmore NMem,40,53,4124,4116,-286,3895,65,,,,,,,,,
Muir Woods NM,5,8,453,452,-31,431,10,,,,,,,,,
Natchez NHP,11,13,1929,1925,-134,1808,17,,,,,,,,,
"Natchez Trace Parkway, Brices Cross Roads NBS, Tupelo NB",102,112,11693,11671,-810,11013,152,,,,,,,,,
National Capital Parks-East,144,146,16676,16644,-1155,15713,224,,,,,,,,,
National Mall & Memorial Parks,280,284,35048,34981,-2427,33009,455,,,,,,,,,
National Park of American Samoa,10,15,2013,2009,-139,1886,16,,,,,,,,,
National Park Service Liaison to the White House,62,77,9348,9330,-647,8797,114,,,,,,,,,
National Parks of New York Harbor (Hqtrs),10,11,812,810,-56,773,19,,,,,,,,,
Natural Bridges NM,7,9,534,533,-37,503,7,,,,,,,,,
Navajo NM,9,10,1112,1110,-77,1047,14,,,,,,,,,
New Bedford Whaling NHP,8,8,954,952,-66,899,13,,,,,,,,,
New Orleans Jazz NHP,8,8,1306,1304,-90,1231,17,,,,,,,,,
New River Gorge NR,76,84,7575,7561,-525,7144,108,,,,,,,,,
Nez Perce NHP,19,20,2591,2586,-179,2438,31,,,,,,,,,
Nicodemus NHS,3,3,682,681,-47,638,4,,,,,,,,,
Ninety Six NHS,5,5,475,474,-33,447,6,,,,,,,,,
Niobrara NSR,7,7,1012,1010,-70,951,11,,,,,,,,,
"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",61,113,7544,7530,-522,7111,103,,,,,,,,,
Obed WSR,11,11,1049,1047,-73,992,18,,,,,,,,,
Ocmulgee NM,15,16,1311,1309,-91,1239,21,,,,,,,,,
Olympic NP,114,197,13132,13107,-909,12385,187,,,,,,,,,
Oregon Caves NM & Pres,17,22,1668,1665,-116,1572,23,,,,,,,,,
Organ Pipe Cactus NM,38,45,4468,4460,-309,4213,62,,,,,,,,,
Ozark NSR,63,80,6635,6622,-459,6260,97,,,,,,,,,
Padre Island NS,51,60,5769,5758,-400,5432,74,,,,,,,,,
Palo Alto Battlefield NHS,9,9,953,951,-66,898,13,,,,,,,,,
Paterson Great Falls NHP,6,6,579,578,-40,546,8,,,,,,,,,
Pea Ridge NMP,15,16,"1,333","1,330",20,-92,"1,258",,,,,,,,,
Pecos NHP,19,22,"2,225","2,221",28,-154,"2,095",,,,,,,,,
Perry's Victory & International Peace Memorial,11,15,"1,122","1,120",15,-78,"1,057",,,,,,,,,
Petersburg NB,34,34,"3,456","3,449",55,-239,"3,265",,,,,,,,,
Petrified Forest NP,34,48,"3,596","3,589",50,-249,"3,390",,,,,,,,,
Petroglyph NM,17,19,"1,771","1,768",27,-123,"1,672",,,,,,,,,
Pictured Rocks NL,25,32,"2,720","2,715",39,-188,"2,566",,,,,,,,,
Pinnacles NM,34,44,"3,582","3,575",56,-248,"3,383",,,,,,,,,
Pipe Spring NM,13,17,"1,273","1,271",17,-88,"1,200",,,,,,,,,
Pipestone NM,10,11,"1,111","1,109",13,-77,"1,045",,,,,,,,,
Point Reyes NS,57,106,"7,674","7,659",112,-531,"7,240",,,,,,,,,
Port Chicago Naval Magazine NMem,1,2,195,195,3,-14,184,,,,,,,,,
Potomac Heritage NST,1,1,415,414,3,-29,388,,,,,,,,,
Prince William Forest Park,29,39,"3,503","3,496",50,-243,"3,303",,,,,,,,,
Pullman NM,2,2,180,180,3,-12,171,,,,,,,,,
Pu'uhonua O Honaunau NHP,16,21,"1,945","1,941",27,-135,"1,833",,,,,,,,,
Puukohola Heiau NHS,11,16,"1,008","1,006",16,-70,952,,,,,,,,,
Rainbow Bridge NM,0,0,141,141,2,-10,133,,,,,,,,,
Reconstruction Era NM,0,0,0,0,0,180,180,,,,,,,,,
Redwood NP,90,117,"9,065","9,048",143,-628,"8,563",,,,,,,,,
Richmond NBP,31,36,"3,233","3,227",49,-224,"3,052",,,,,,,,,
Rio Grande WSR,0,0,195,195,4,-14,185,,,,,,,,,
River Raisin NBP,9,9,677,676,10,-47,639,,,,,,,,,
Rock Creek Park,59,60,"9,042","9,025",106,-626,"8,505",,,,,,,,,
Rocky Mountain NP,112,245,"12,762","12,738",188,-884,"12,042",,,,,,,,,
Roger Williams NMem,7,7,683,682,10,-47,645,,,,,,,,,
Ronald Reagan Boyhood Home NHS,0,0,71,71,0,-5,66,,,,,,,,,
Rosie the Riveter WWII Home Front NHP,11,13,"1,313","1,311",20,-91,"1,240",,,,,,,,,
Russell Cave NM,3,4,399,398,5,-28,375,,,,,,,,,
Sagamore Hill NHS,16,19,"1,564","1,561",24,-108,"1,477",,,,,,,,,
Saguaro NP,33,61,"3,697","3,690",52,-256,"3,486",,,,,,,,,
Saint Croix Island IHS,2,2,235,235,4,-16,223,,,,,,,,,
Saint Croix NSR & Lower Saint Croix NSR,35,40,"3,947","3,939",59,-273,"3,725",,,,,,,,,
Saint-Gaudens NHS,10,12,"1,300","1,298",18,-90,"1,226",,,,,,,,,
Salem Maritime NHS,22,22,"2,575","2,570",33,-178,"2,425",,,,,,,,,
Salinas Pueblo Missions NM,14,18,"1,403","1,400",18,-97,"1,321",,,,,,,,,
San Antonio Missions NHP,38,40,"3,877","3,870",59,-269,"3,660",,,,,,,,,
San Francisco Maritime NHP,65,72,"7,493","7,479",126,-519,"7,086",,,,,,,,,
San Juan Island NHP,7,10,"1,024","1,022",13,-71,964,,,,,,,,,
San Juan NHS,36,101,"3,512","3,505",54,-243,"3,316",,,,,,,,,
Sand Creek Massacre NHS,7,8,891,889,12,-62,839,,,,,,,,,
Santa Monica Mountains NRA,63,86,"8,593","8,577",114,-595,"8,096",,,,,,,,,
Saratoga NHP,22,24,"2,298","2,294",36,-159,"2,171",,,,,,,,,
Saugus Iron Works NHS,7,7,906,904,12,-63,853,,,,,,,,,
Scotts Bluff NM,11,13,993,991,14,-69,936,,,,,,,,,
Sequoia NP & Kings Canyon NP,170,300,"17,092","17,060",234,"-1,184","16,110",,,,,,,,,
Shenandoah NP,115,186,"12,287","12,264",180,-851,"11,593",,,,,,,,,
Shiloh NMP,27,28,"2,412","2,407",38,-167,"2,278",,,,,,,,,
Sitka NHP,17,19,"2,213","2,209",29,-153,"2,085",,,,,,,,,
Sleeping Bear Dunes NL,41,78,"4,298","4,290",66,-298,"4,058",,,,,,,,,
Southern Arizona Group (Hqtrs),11,16,"1,403","1,400",18,-97,"1,321",,,,,,,,,
Springfield Armory NHS,10,10,"1,477","1,474",18,-102,"1,390",,,,,,,,,
Statue of Liberty NM & Ellis Island,77,116,"15,775","15,745",141,"-1,092","14,794",,,,,,,,,
Statue of Liberty NM & Ellis Island USPP Operations,0,88,"12,133","12,110",219,-840,"11,489",,,,,,,,,
Steamtown NHS,47,49,"5,675","5,664",75,-393,"5,346",,,,,,,,,
Stones River NB,10,10,"1,298","1,296",14,-90,"1,220",,,,,,,,,
Stonewall NM,0,0,0,0,0,180,180,,,,,,,,,
Tallgrass Prairie NPres,9,10,"1,027","1,025",14,-71,968,,,,,,,,,
Thaddeus Kosciuszko NMem,0,0,164,164,3,-11,156,,,,,,,,,
Theodore Roosevelt Inaugural NHS,0,0,285,284,0,-20,264,,,,,,,,,
Theodore Roosevelt NP & International Peace Garden,33,41,"2,943","2,937",48,-204,"2,781",,,,,,,,,
Thomas Edison NHP,21,22,"2,919","2,913",42,-202,"2,753",,,,,,,,,
Thomas Stone NHS,3,3,624,623,11,-43,591,,,,,,,,,
Timpanogos Cave NM,13,26,"1,134","1,132",16,-79,"1,069",,,,,,,,,
Tonto NM,8,11,883,881,11,-61,831,,,,,,,,,
Tule Springs Fossil Beds NM,1,2,226,226,4,-16,214,,,,,,,,,
Tumacacori NHP,12,16,"1,300","1,298",19,-90,"1,227",,,,,,,,,
Tuskegee Airmen NHS,6,6,963,961,10,-67,904,,,,,,,,,
Tuskegee Institute NHS,12,12,"1,091","1,089",11,-76,"1,024",,,,,,,,,
Ulysses S Grant NHS,10,10,"1,270","1,268",14,-88,"1,194",,,,,,,,,
